Species,BE,Bestand,Trend_lang,Trend_kurz,RF,BB,GfU,Neobiota,Letzter_Nachweis
"Leiodes furva (ERICHSON, 1845)",0,ex,,,,kN,"6d, 7a, 8a, 8d, 8e",,vor 1845
"Leiodes hybrida (ERICHSON, 1845)",0,ex,,,,kN,"6d, 7a, 8a, 8d, 8e",,vor 1845
"Leiodes litura STEPHENS, 1835",0,ex,,,,kN,"6d, 7a, 8a, 8d, 8e",,vor 1909
"Leiodes nigrita (SCHMIDT, 1841)",0,ex,,,,kN,"6d, 7a, 8a, 8d, 8e",,vor 1909
"Leiodes picea (PANZER, 1797)",0,ex,,,,kN,"6d, 7a, 8a, 8d, 8e",,vor 1909
"Leiodes rubiginosa (SCHMIDT, 1841)",0,ex,,,,kN,"6d, 7a, 8a, 8d, 8e",,vor 1845
"Zeadolopus latipes (ERICHSON, 1845)",0,ex,,,,kN,"6d, 7a, 8a, 8d, 8e",,vor 1845
"Cephennium gallicum GUILLEBEAU, 1899",0,ex,,,,kN,,,1994
"Euconnus rutilipennis (MÜLLER & KUNZE, 1822)",0,ex,,,,kN,"5a, 5b, 6a, 6b, 7b, 8b, 8c",,vor 2005
"Micropeplus caelatus ERICHSON, 1839",0,ex,,,,1,,,1914
"Micropeplus porcatus (PAYKULL, 1789)",0,ex,,,,3,,,1922
"Bryaxis clavicornis (PANZER, 1806)",0,ex,,,,,"5a, 5b, 6a, 6b, 7b, 8b, 8c",,vor 1950
"Pselaphaulax dresdensis (HERBST, 1792)",0,ex,,,,,"5a, 5b, 6a, 6b, 7b, 8b, 8c",,1970
"Lordithon pulchellus (MANNERHEIM, 1830)",0,ex,,,,1,,,vor 1950
"Mycetoporus reichei (PANDELLÉ,1869)",0,ex,,,,,,,vor 1900
"Tachinus bipustulatus (GRAVENHORST, 1802)",0,ex,,,,1,"2a, 14a",,1921
"Tachinus scapularis STEPHENS, 1832",0,ex,,,,2,"2a, 14a",,1958
"Tachyporus tersus ERICHSON, 1839",0,ex,,,,1,"5a, 5b, 6a, 6b, 7b, 8b, 8c",,1967
"Aleochara fumata GRAVENHORST, 1802",0,ex,,,,2,,,KORGE (2005)
"Aleochara funebris WOLLASTON, 1864",0,ex,,,,3,,,KORGE (2005)
"Aleochara moerens GYLLENHAL, 1827",0,ex,,,,1,,,KORGE (2005)
"Aleochara moesta GRAVENHORST, 1802",0,ex,,,,1,,,KORGE (2005)
"Aleochara signata J. R. SAHLBERG, 1876",0,ex,,,,neu,,,KORGE (2005)
"Alevonota gracilienta (ERICHSON, 1839)",0,ex,,,,1,,,KORGE (2005)
"Amarochara bonnairei (FAUVEL, 1865)",0,ex,,,,1,,,KORGE (2005)
"Atheta arctica (THOMSON, 1856)",0,ex,,,,3,,,KORGE (2005)
"Atheta balcanicola SCHEERPELTZ, 1968",0,ex,,,,,,,1977
"Atheta boreella BRUNDIN, 1948",0,ex,,,,2,,,1967
"Atheta clientula (ERICHSON, 1839)",0,ex,,,,1,,,KORGE (2005)
"Atheta ganglbaueri BRUNDIN, 1948",0,ex,,,,,,,1946
"Atheta hygrobia (THOMSON, 1856)",0,ex,,,,1,"5a, 5b, 6a, 6b, 7b, 8b, 8c",,KORGE (2005)
"Atheta liliputana (BRISOUT DE BARNEVILLE, 1860)",0,ex,,,,1,,,1968
"Atheta myrmecobia (KRAATZ, 1856)",0,ex,,,,2,,,KORGE (2005)
"Atheta nigripes (THOMSON, 1856)",0,ex,,,,1,,,KORGE (2005)
"Atheta pervagata BENICK, 1974",0,ex,,,,1,,,KORGE (2005)
"Atheta sequanica (BRISOUT DE BARNEVILLE, 1859)",0,ex,,,,2,"5a, 5b, 6a, 6b, 7b, 8b, 8c",,KORGE (2005)
"Atheta sodermani BERNHAUER, 1931",0,ex,,,,1,,,KORGE (2005)
"Atheta strandiella BRUNDIN, 1954",0,ex,,,,1,,,KORGE (2005)
"Atheta subsinuata (ERICHSON, 1839)",0,ex,,,,1,,,KORGE (2005)
"Calodera rubens (ERICHSON, 1837)",0,ex,,,,1,"5a, 5b, 6a, 6b, 7b, 8b, 8c",,vor 1950
"Cypha pulicaria (ERICHSON, 1839)",0,ex,,,,1,,,KORGE (2005)
"Cypha seminulum (ERICHSON, 1839)",0,ex,,,,1,,,KORGE (2005)
"Cyphaea curtula (ERICHSON, 1837)",0,ex,,,,1,"2a, 14a",,KORGE (2005)
"Dacrila fallax (KRAATZ, 1856)",0,ex,,,,2,"5a, 5b, 6a, 6b, 7b, 8b, 8c",,KORGE (2005)
"Dasygnypeta velata (ERICHSON, 1837)",0,ex,,,,3,"5a, 5b, 6a, 6b, 7b, 8b, 8c",,KORGE (2005)
"Deinopsis erosa (STEPHENS, 1832)",0,ex,,,,3,"5a, 5b, 6a, 6b, 7b, 8b, 8c",,KORGE (2005)
"Dinarda dentata (GRAVENHORST, 1806)",0,ex,,,,,"6d, 7a, 8a, 8d, 8e",,KORGE (2005)
"Dochmonota rudiventris (EPPELSHEIM, 1886)",0,ex,,,,1,"5a, 5b, 6a, 6b, 7b, 8b, 8c",,KORGE (2005)
"Encephalus complicans STEPHENS, 1832",0,ex,,,,3,"5a, 5b, 6a, 6b, 7b, 8b, 8c",,KORGE (2005)
"Euryusa coarctata MÄRKEL, 1844",0,ex,,,,0,"2a, 14a",,KORGE (2005)
"Falagrioma thoracica (STEPHENS, 1832)",0,ex,,,,2,"5a, 5b, 6a, 6b, 7b, 8b, 8c",,KORGE (2005)
"Gnypeta carbonaria (MANNERHEIM, 1830)",0,ex,,,,2,"5a, 5b, 6a, 6b, 7b, 8b, 8c",,KORGE (2005)
"Gnypeta ripicola (KIESENWETTER, 1844)",0,ex,,,,2,"5a, 5b, 6a, 6b, 7b, 8b, 8c",,KORGE (2005)
"Gymnusa brevicollis (PAYKULL, 1800)",0,ex,,,,2,"5a, 5b, 6a, 6b, 7b, 8b, 8c",,KORGE (2005)
"Hygropora cunctans (ERICHSON, 1837)",0,ex,,,,1,"5a, 5b, 6a, 6b, 7b, 8b, 8c",,KORGE (2005)
"Notothecta confusa (MÄRKEL, 1844)",0,ex,,,,0,"2a, 14a",,vor 1950
"Oxypoda induta MULSANT & REY, 1861",0,ex,,,,2,,,KORGE (2005)
"Oxypoda lentula ERICHSON, 1837",0,ex,,,,1,,,KORGE (2005)
"Oxypoda nigrocincta MULSANT & REY, 1875",0,ex,,,,1,,,KORGE (2005)
"Tachyusa scitula (ERICHSON, 1837)",0,ex,,,,2,"5a, 5b, 6a, 6b, 7b, 8b, 8c",,KORGE (2005)
"Tetralaucopora rubicunda (ERICHSON, 1837)",0,ex,,,,3,"5a, 5b, 6a, 6b, 7b, 8b, 8c",,KORGE (2005)
"Tomoglossa luteicornis (ERICHSON, 1837)",0,ex,,,,1,"5a, 5b, 6a, 6b, 7b, 8b, 8c",,KORGE (2005)
"Zoosetha inconspicua (ERICHSON, 1839)",0,ex,,,,1,"6d, 7a, 8a, 8d, 8e",,KORGE (2005)
"Anotylus pumilus (ERICHSON, 1839)",0,ex,,,,0,,,vor 1950
"Aploderus caesus (ERICHSON, 1839)",0,ex,,,,1,"5a, 5b, 6a, 6b, 7b, 8b, 8c",,KORGE (2005)
"Bledius baudii FAUVEL, 1872",0,ex,,,,1,"5a, 5b, 6a, 6b, 7b, 8b, 8c",,KORGE (2005)
"Bledius denticollis FAUVEL, 1872",0,ex,,,,1,"5a, 5b, 6a, 6b, 7b, 8b, 8c",,KORGE (2005)
"Bledius fergussoni JOY, 1912",0,ex,,,,1,"5a, 5b, 6a, 6b, 7b, 8b, 8c",,vor 1837
"Bledius pygmaeus ERICHSON, 1839",0,ex,,,,1,"5a, 5b, 6a, 6b, 7b, 8b, 8c",,KORGE (2005)
"Bledius tibialis HEER, 1839",0,ex,,,,2,"5a, 5b, 6a, 6b, 7b, 8b, 8c",,vor 1950
"Coprophilus striatulus (FABRICIUS, 1793)",0,ex,,,,,,,KORGE (2005)
"Deleaster dichrous (GRAVENHORST, 1802)",0,ex,,,,2,,,KORGE (2005)
"Manda mandibularis (GYLLENHAL, 1827)",0,ex,,,,3,"5a, 5b, 6a, 6b, 7b, 8b, 8c",,KORGE (2005)
"Syntomium aeneum (P. MÜLLER, 1821)",0,ex,,,,1,,,KORGE (2005)
"Thinobius brevipennis KIESENWETTER, 1850",0,ex,,,,1,"5a, 5b, 6a, 6b, 7b, 8b, 8c",,vor 1950
"Thinobius flagellatus LOHSE, 1984",0,ex,,,,0,"5a, 5b, 6a, 6b, 7b, 8b, 8c",,vor 1950
"Thinobius pusillimus (HEER, 1839)",0,ex,,,,0,"5a, 5b, 6a, 6b, 7b, 8b, 8c",,vor 1950
"Stenus bohemicus MACHULKA, 1947",0,ex,,,,2,"5a, 5b, 6a, 6b, 7b, 8b, 8c",,vor 1950
"Stenus palposus ZETTERSTEDT, 1838",0,ex,,,,0,"5a, 5b, 6a, 6b, 7b, 8b, 8c",,vor 1950
"Stenus pumilio ERICHSON, 1839",0,ex,,,,1,"5a, 5b, 6a, 6b, 7b, 8b, 8c",,vor 1950
"Stenus sylvester ERICHSON, 1839",0,ex,,,,0,"5a, 5b, 6a, 6b, 7b, 8b, 8c",,vor 1950
"Medon apicalis (KRAATZ, 1857)*",0,ex,,,,1,,,1884
"Paederus limnophilus ERICHSON, 1840*",0,ex,,,,0,"5a, 5b, 6a, 6b, 7b, 8b, 8c",,vor 1950
"Rugilus angustatus (GEOFFROY, 1785)",0,ex,,,,2,"5a, 5b, 6a, 6b, 7b, 8b, 8c",,vor 1950
"Rugilus geniculatus (ERICHSON, 1839)",0,ex,,,,0,,,vor 1950
"Scopaeus minimus (ERICHSON, 1839)",0,ex,,,,2,"5a, 5b, 6a, 6b, 7b, 8b, 8c",,vor 1950
"Tetartopeus sphagnetorum (MUONA, 1977)",0,ex,,,,1,"5a, 5b, 6a, 6b, 7b, 8b, 8c",,vor 1950
"Bisnius scribae (FAUVEL, 1867)",0,ex,,,,1,,,vor 1950
"Dinothenarus fossor (SCOPOLI, 1771)",0,ex,,,,1,,,vor 1950
"Dinothenarus pubescens (DE GEER, 1774)",0,ex,,,,1,6 ?,,vor 1950
"Ocypus aeneocephalus (DE GEER, 1774)",0,ex,,,,,,,vor 1950
"Philonthus ebeninus (GRAVENHORST, 1802)",0,ex,,,,1,,,vor 1950
"Philonthus nitidus (FABRICIUS, 1787)*",0,ex,,,,2,"6, 13a",,KORGE (2005)
"Philonthus rufipes (STEPHENS, 1832)",0,ex,,,,0,,,vor 1950
"Quedius fulgidus (FABRICIUS, 1793)",0,ex,,,,3,,,KORGE (2005)
"Rabigus pullus (NORDMANN, 1837)",0,ex,,,,0,"6d, 7a, 8a, 8d, 8e",,vor 1950
"Staphylinus caesareus CEDERHJELM, 1798",0,ex,,,,3,,,KORGE (2005)
"Tasgius pedator (GRAVENHORST, 1802)",0,ex,,,,1,,,KORGE (2005)
