Species,BE,Bestand,Trend_lang,Trend_kurz,RF,BB,D,GS,GfU,Vorzugs_habitat,Letzter_Nachweis
Physcomitrium sphaericum (C. F. LUDWIG) BRIDEL,0,ex,,,,1,3,,"11c, 12c",SP,um 1900
Pogonatum aloides (HEDWIG) P. DE BEAUVOIS,0,ex,,,,2,V,,2a,W,um 1900
Pohlia bulbifera (WARNSTORF) WARNSTORF,0,ex,,,,3,V,,2a,SW,1906
Pohlia camptotrachela (RENAULD & CARDOT) BROTHERUS,0,ex,,,,D,V,,2a,RR,um 1940
Pohlia cruda (HEDWIG) LINDBERG,0,ex,,,,3,V,,"2a, 11b",W,vor 1900
Pohlia elongata HEDWIG,0,ex,,,,0,2,,2a,W,1916
Pohlia sphagnicola (BRUCH & SCHIMPER) BROTHERUS,0,ex,,,,*,D,,2d,MAA,1957
Polytrichum strictum MENZIES ex BRIDEL,0,ex,,,,3,3,,"2d, 11",MAA,1938
Pseudocrossidium revolutum (BRIDEL) R. H. ZANDER,0,ex,,,,0,V,,4b,OK,1925
Pyramidula tetragona (BRIDEL) BRIDEL,0,ex,,,,0,1,,"1a, 6e",LAL,vor 1900
Riccardia chamedryfolia (WITHERING) GROLLE,0,ex,,,,2,V,,"2d, 11",MM,1958
Riccardia palmata (HEDWIG) CARRUTHERS,0,ex,,,,1,3,,,W,vor 1900
Ricciocarpos natans (LINNAEUS) CORDA,0,ex,,,,3,3,,"5b, 11c","SK, SR",1958
Scapania curta (MARTIUS) DUMORTIER,0,ex,,,,2,D,,"2a, 12a","W, RRT",vor 1900
Scapania irrigua (NEES) NEES,0,ex,,,,2,V,,"2a, 12a","W, RRT",vor 1900
Scorpidium scorpioides (HEDWIG) LIMPRICHT,0,ex,,,,1,3,,"2d, 11c",MMK,1909
Sphagnum capillifolium (EHRHART) HEDWIG,0,ex,,,,2,V,§,"2d, 11",MA,1965
Sphagnum centrale C. E. O. JENSEN,0,ex,,,,G,3,§,"2d, 11",MM,1909
Sphagnum compactum LAMARCK & DE CANDOLLE,0,ex,,,,2,3,§,"2d, 11","MA, WZ",vor 1900
Sphagnum fuscum (SCHIMPER) H. KLINGGRÄFF,0,ex,,,,1,2,§,"2d, 11",MA,1910
Sphagnum obtusum WARNSTORF,0,ex,,,,1,2,§,"2d, 11",MMB,vor 1960
Sphagnum papillosum LINDBERG,0,ex,,,,3,3,§,"2d, 11",MAA,1984
Sphagnum platyphyllum (BRAITHWAITE) SULLIVANT,0,ex,,,,1,2,§,"2d, 11c",MM,vor 1900
Sphagnum riparium ÅNGSTRÖM,0,ex,,,,2,V,§,"2d, 11c","SGD, MA",vor 1900
Sphagnum rubellum WILSON,0,ex,,,,2,G,§,"2d, 11",MAA,vor 1960
Sphagnum subsecundum NEES,0,ex,,,,1,3,§,"2d, 11",MMB,1909
Sphagnum warnstorfii RUSSOW,0,ex,,,,1,2,§,"2d, 11",MMB,1909
Splachnum ampullaceum LINNAEUS ex HEDWIG,0,ex,,,,0,2,,2d,MA,vor 1900
Thuidium delicatulum (HEDWIG) MITTEN,0,ex,,,,3,V,,,W,1965
Thuidium recognitum (HEDWIG) LINDBERG,0,ex,,,,1,V,,2a,W,vor 1910
Tomentypnum nitens (HEDWIG) LOESKE,0,ex,,,,1,2,,"2b, 6a",MMB,vor 1960
Tortula laevipila (BRIDEL) SCHWAEGRICHEN,0,ex,,,,1,3,,11d,B,vor 1900
Trematodon ambiguus (HEDWIG) HORNSCHUH,0,ex,,,,1,2,,2d,MA,vor 1900
Tritomaria exsectiformis (BREIDLER) LOESKE,0,ex,,,,1,V,,,W,um 1900
Warnstorfia exannulata (SCHIMPER) LOESKE,0,ex,,,,2,V,,"2d, 11c","SGD, MA",1956
Weissia controversa HEDWIG,0,ex,,,,3,V,,"2a, 12a","GTK, W",vor 1900
